grid_id,local,visitor,total_local,total_visitor,OR
1330,24,704,115506,3314402,0.9782260425668561
1336,61,6104,115506,3314402,0.2867582676113414
1337,21,1262,115506,3314402,0.4774859288598917
1338,108,8571,115506,3314402,0.3615704238539027
1339,99,2380,115506,3314402,1.1936001796698108
1340,46,3648,115506,3314402,0.3618292233470973
1341,11,2398,115506,3314402,0.13162674578881245
1342,428,17342,115506,3314402,0.7081825561688015
1343,99,2671,115506,3314402,1.063559875557525
1344,145,3141,115506,3314402,1.3246486578746772
1345,84,2561,115506,3314402,0.9411749195176623
1346,39,3716,115506,3314402,0.3011546266675143
1347,5,309,115506,3314402,0.4643144107113448
1353,191,11372,115506,3314402,0.48194463956688116
1354,383,9165,115506,3314402,1.1991318617448015
1355,31,2273,115506,3314402,0.3913477994020213
1356,25,1079,115506,3314402,0.6648431552817681
1357,144,5812,115506,3314402,0.7109474886101858
1358,109,3373,115506,3314402,0.9272797905229057
1359,210,5094,115506,3314402,1.1829353007875605
1360,43,1923,115506,3314402,0.6416376053168632
1361,169,4241,115506,3314402,1.1434549795688347
1368,55,5652,115506,3314402,0.2792294200296994
1369,123,6557,115506,3314402,0.5382704836939479
1370,39,2589,115506,3314402,0.4322482011187653
1371,47,2073,115506,3314402,0.6505777314771695
1372,128,5177,115506,3314402,0.7094673970428862
1373,38,1226,115506,3314402,0.8893931175485499
1374,373,6678,115506,3314402,1.6027399231912989
1375,83,1542,115506,3314402,1.5445229171872712
1376,5,1208,115506,3314402,0.11876916631606418
1381,78,2332,115506,3314402,0.9597689474240851
1382,406,7875,115506,3314402,1.4793676211144393
1383,94,3349,115506,3314402,0.8054031874303805
1384,120,2910,115506,3314402,1.1832837353386023
1385,71,1666,115506,3314402,1.2228804149575263
1386,110,5430,115506,3314402,0.5812908589347555
1387,283,4592,115506,3314402,1.768419088565983
1388,121,2741,115506,3314402,1.2667093398093012
1389,28,1087,115506,3314402,0.7391441180265971
1393,8,694,115506,3314402,0.33077383956151135
1394,106,5998,115506,3314402,0.50710750945113
1395,207,7288,115506,3314402,0.815009403192364
1396,214,4416,115506,3314402,1.3905459566439489
1397,40,2164,115506,3314402,0.5303998259142534
1398,199,3132,115506,3314402,1.8231901295690487
1399,118,6537,115506,3314402,0.5179694674424676
1400,416,7281,115506,3314402,1.639467974467219
1401,76,1447,115506,3314402,1.5071125944913921
1402,15,2062,115506,3314402,0.20873882576596345
1406,30,914,115506,3314402,0.9418368899987235
1407,151,4662,115506,3314402,0.929405666640096
1408,149,6111,115506,3314402,0.69963998637084035
1409,38,4807,115506,3314402,0.22683502436332895
1410,30,1151,115506,3314402,0.7479052280267882
1411,146,6527,115506,3314402,0.6418593634083533
1412,201,6981,115506,3314402,0.8261883321836675
1413,126,3780,115506,3314402,0.9564876860653704
1414,157,3477,115506,3314402,1.295673569562236
1418,14,665,115506,3314402,0.6040974859360234
1419,45,1663,115506,3314402,0.7764632448516234
1420,163,13154,115506,3314402,0.35557433365209523
1421,43,4418,115506,3314402,0.27928228044914616
1422,9,1141,115506,3314402,0.22633801510749343
1423,72,2429,115506,3314402,0.8505613017296006
1424,191,4391,115506,3314402,1.2481608838885385
1425,357,7378,115506,3314402,1.388449866869086
1426,228,5049,115506,3314402,1.295776544402284
1427,5,1075,115506,3314402,0.13346339805563306
1430,53,1511,115506,3314402,1.0064959767332486
1431,172,4103,115506,3314402,1.202894579599637
1432,18,2780,115506,3314402,0.18579257211341726
1433,20,3378,115506,3314402,0.16989124086418655
1435,27,1577,115506,3314402,0.4912841000082118
1436,236,7369,115506,3314402,0.918975819967814
1437,231,4863,115506,3314402,1.3630392071628656
1438,280,10063,115506,3314402,0.7984196127346825
1439,21,680,115506,3314402,0.886157709148799
1441,7,1468,115506,3314402,0.1368272575434113
1442,97,4793,115506,3314402,0.5807175394221213
1443,225,9325,115506,3314402,0.692363740583512
1444,70,2522,115506,3314402,0.7964409757086748
1445,8,1080,115506,3314402,0.21255281912563787
1446,9,460,115506,3314402,0.5614166852992392
1447,40,1445,115506,3314402,0.7943150334106881
1448,143,4611,115506,3314402,0.8899007098721402
1449,426,6601,115506,3314402,1.8518273940183962
1450,149,3437,115506,3314402,1.2439627456247324
1453,67,5721,115506,3314402,0.33604968519339184
1454,121,4038,115506,3314402,0.8598440565669376
1455,226,6146,115506,3314402,1.0551556315527517
1456,11,2373,115506,3314402,0.13301345823917918
1457,7,316,115506,3314402,0.6356405508662271
1459,62,1603,115506,3314402,1.1098359925649337
1460,210,4457,115506,3314402,1.3520018896593748
1461,434,7637,115506,3314402,1.6306756151068644
1462,92,4751,115506,3314402,0.5556527075437638
1463,8,1376,115506,3314402,0.16682924756954134
1464,333,12313,115506,3314402,0.7760344338335946
1465,110,6280,115506,3314402,0.5026129560534589
1466,254,5269,115506,3314402,1.3832674450214695
1467,7,479,115506,3314402,0.41933698136477615
1470,7,598,115506,3314402,0.33589032453800627
1471,325,5522,115506,3314402,1.6888364612708004
