grid_id,local,visitor,total_local,total_visitor,OR
854,9,707,39961,3096509,0.9864136981930791
859,5,6549,39961,3096509,0.05916038789828023
861,84,4167,39961,3096509,1.5620386824598187
862,148,10696,39961,3096509,1.072201276948091
867,12,995,39961,3096509,0.9345319726934767
869,38,14792,39961,3096509,0.19906398665686606
871,9,864,39961,3096509,0.8071695423871608
880,258,8743,39961,3096509,2.286626469843898
881,113,3067,39961,3096509,2.854964198179302
886,12,1049,39961,3096509,0.8864245117540603
887,27,1476,39961,3096509,1.417468464679892
888,84,14183,39961,3096509,0.45893077556300244
889,5,399,39961,3096509,0.9710310284356822
898,189,4987,39961,3096509,2.936692235226117
899,267,8280,39961,3096509,2.498716148607211
905,38,2315,39961,3096509,1.2719457842887096
906,83,5261,39961,3096509,1.2224913350581441
908,5,1888,39961,3096509,0.20521259552215954
917,289,7371,39961,3096509,3.038137536832097
918,247,4923,39961,3096509,3.887792847671005
924,31,5604,39961,3096509,0.42864678053964855
925,93,6747,39961,3096509,1.0680909551552649
926,26,2390,39961,3096509,0.8429686936394784
927,14,603,39961,3096509,1.799064452683821
928,13,326,39961,3096509,3.0900232788318305
937,298,9565,39961,3096509,2.4141668864204804
943,13,2459,39961,3096509,0.40965741720177984
944,94,5648,39961,3096509,1.2896419884032824
945,9,1020,39961,3096509,0.683720082963242
946,16,1875,39961,3096509,0.6612332891235622
947,12,2127,39961,3096509,0.43716939954396294
956,51,2309,39961,3096509,1.7115210392063833
957,114,3676,39961,3096509,2.4030640565519827
962,55,2111,39961,3096509,2.0188797649475174
963,62,9384,39961,3096509,0.5119643133299638
965,17,865,39961,3096509,1.5228909747697648
966,17,2777,39961,3096509,0.47436107064308475
976,62,3116,39961,3096509,1.5418078036869
979,12,4170,39961,3096509,0.2229878448033595
980,36,2583,39961,3096509,1.0799759730894416
981,26,2661,39961,3096509,0.7571195707622522
982,39,4551,39961,3096509,0.6640392807509404
984,7,1346,39961,3096509,0.402985090998642
985,23,997,39961,3096509,1.7875931289777844
995,24,3135,39961,3096509,0.5932116828261622
998,11,13750,39961,3096509,0.061990620855333946
999,12,3266,39961,3096509,0.28470891390998443
1000,30,4562,39961,3096509,0.5095677952816797
1001,132,6625,39961,3096509,1.5439173496045437
1004,20,5198,39961,3096509,0.29814650276709287
1011,6,738,39961,3096509,0.6299859843021742
1015,57,1725,39961,3096509,2.5604821657637937
1018,18,23761,39961,3096509,0.05870076887525835
1020,49,5302,39961,3096509,0.7161308048640522
1021,21,2867,39961,3096509,0.5675806757769501
1022,8,3693,39961,3096509,0.16785979110569713
1023,5,3470,39961,3096509,0.11165457646854098
1026,14,947,39961,3096509,1.1455500158060656
1034,182,7401,39961,3096509,1.9055352309942541
1037,47,29744,39961,3096509,0.12244314736588453
1038,43,33044,39961,3096509,0.10083512501435056
1039,90,3446,39961,3096509,2.023779700007275
1040,96,6022,39961,3096509,1.2352830459382387
1041,6,1027,39961,3096509,0.45270657878773574
1043,6,1461,39961,3096509,0.3182270064442194
1050,5,794,39961,3096509,0.4879614362038252
1053,15,3512,39961,3096509,0.3309578989286764
1054,62,3155,39961,3096509,1.5227490067475058
1058,37,2989,39961,3096509,0.9592058262158565
1059,118,4493,39961,3096509,2.0350804754421894
1060,36,2543,39961,3096509,1.0969634048328856
1061,69,10651,39961,3096509,0.5019895830224912
1062,11,1372,39961,3096509,0.6212616886011967
1069,10,500,39961,3096509,1.5497655213833488
1071,20,1432,39961,3096509,1.0822384925861375
1072,52,2516,39961,3096509,1.601506500634621
1073,49,3545,39961,3096509,1.0710650288827093
1078,10,3823,39961,3096509,0.20268970983303017
1079,75,2957,39961,3096509,1.9653773098368474
1080,105,8724,39961,3096509,0.9326305579163895
1081,24,2747,39961,3096509,0.6769998637277097
1082,50,6335,39961,3096509,0.6115886035451258
